,FIPS,Population_2020,Obesity_2020,ExcessiveDrinking,Unemployment,PhysicalInactivity,College,PhysicalDistress,MentalDistress,FI,HouseBurden,PCP,MHP,TrafficVolume,StateAbbr,Population_2022,TotalPop18plus,Obesity,Diabetes,Depression,BingeDrink,Conservative Protestant,Black Protestant,Orthodox Christian,Mainline Protestant,Other,Other Christian,Catholic,Judaism,Latter-day Saints,Hinduism,Jehovah’s Witnesses,Buddhism,Islam,Series_Complete_Yes,county_fips,DEMOCRAT_2024,REPUBLICAN_2024,Suicide,FFR20,FSR20
1726,40021,48871,18961.948,6524.604995421961,2067.0592147209113,18375.496000000003,6135,7859.271622762029,8393.32313177427,8320,1792,26.0,202.0,30,OK,48098,37893,16786.599,5380.806,11405.793000000001,5608.164000000001,12692.0,0.0,0.0,2379.0,0.0,32.0,0.0,0.0,390.0,0.0,200.0,0.0,0.0,24804,40021.0,5826,11637,11,24,31
1727,40023,0,0.0,0.0,0.0,0.0,1471,0.0,0.0,3240,738,6.0,124.0,25,OK,14358,10797,4901.838,1489.986,3141.927,1533.174,5983.0,192.0,0.0,291.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,5413,40023.0,944,4633,3,9,8
1728,40027,282189,97637.394,43210.859556846386,8118.032342827322,71393.81700000001,54316,32947.51110170631,36901.36745026182,38100,12724,140.0,941.0,84,OK,299587,239280,88294.32,27277.920000000002,64844.880000000005,39720.48,83185.0,1612.0,0.0,16007.0,0.0,32.0,0.0,0.0,4095.0,452.0,1256.0,0.0,1796.0,172286,40027.0,49432,67225,50,228,188
1729,40029,0,0.0,0.0,0.0,0.0,605,0.0,0.0,950,173,1.0,2.0,26,OK,5313,4033,1742.256,568.653,1217.966,576.719,2523.0,150.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359,40029.0,345,2155,1,3,4
1730,40031,121374,39082.42800000001,17275.94052091974,4743.397685666178,35926.704000000005,21127,17139.26904930306,17432.85911772042,21540,5086,97.0,388.0,116,OK,123046,93733,41055.054,11904.090999999999,24839.245,12747.688,46312.0,3700.0,70.0,5395.0,0.0,55.0,0.0,0.0,1608.0,0.0,662.0,0.0,574.0,80975,40031.0,12823,20823,22,89,70
1731,40035,0,0.0,0.0,0.0,0.0,1712,0.0,0.0,2330,644,6.0,82.0,23,OK,14123,10951,4774.636,1576.944,3351.0060000000003,1609.7969999999998,6261.0,76.0,0.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7886,40035.0,1212,4740,4,8,10
1732,40037,71505,23811.165,10065.10653062145,2722.449482988795,21165.48,8424,9232.95411067365,10401.57703782225,10740,2385,17.0,179.0,34,OK,72699,55945,22042.33,6601.51,16000.27,8335.805,26723.0,738.0,0.0,2544.0,0.0,0.0,0.0,0.0,487.0,0.0,300.0,0.0,0.0,32830,40037.0,6643,24098,19,35,35
1733,40039,0,0.0,0.0,0.0,0.0,4281,0.0,0.0,3990,1444,16.0,170.0,42,OK,27886,21000,8147.999999999999,2478.0000000000005,5754.0,3171.0,12210.0,150.0,25.0,3712.0,0.0,0.0,0.0,0.0,390.0,0.0,172.0,0.0,0.0,14646,40039.0,2279,7693,7,22,30
1734,40041,42741,15771.429,4859.12037594375,1667.999169667062,15814.17,3632,6384.188188628551,7010.60880632913,6550,1897,20.0,77.0,15,OK,41413,33279,14309.970000000001,4326.27,9917.142000000002,4858.7339999999995,13100.0,0.0,0.0,1324.0,0.0,0.0,0.0,0.0,244.0,0.0,378.0,0.0,0.0,19096,40041.0,3475,14407,27,13,29
1735,40047,61555,22282.91,9148.858934610202,1873.902671049045,17604.73,8607,7697.581678794151,8453.261881898601,8640,2122,33.0,273.0,45,OK,61920,46034,19472.382,5247.876,12935.554000000002,6813.032000000001,22428.0,614.0,0.0,4990.0,0.0,0.0,0.0,0.0,1608.0,0.0,478.0,0.0,0.0,32160,40047.0,4849,16593,13,48,35
